"","d","p","lfc","comp","gene"
"1",-0.324141257840952,0.00444399031250675,-0.102674860675896,"LC v. H - CV","A1BG-AS1"
"2",-0.324141257840952,0.00444399031250675,-0.102674860675896,"LC v. H - CV","A1BG"
"3",0.426211088456447,0.0036665307642907,-0.658587073079112,"LC v. H - CV","A1CF"
"4",0.785122883323988,7.53327109842562e-07,NA,"LC v. H - CV","A2M-AS1"
"5",0.785122883323988,7.53327109842562e-07,NA,"LC v. H - CV","A2M"
"6",-0.168791108709061,0.250744220446805,-0.103311594635909,"LC v. H - CV","A2ML1"
"7",0.28186249519915,0.0295810451431017,-0.306160001513594,"LC v. H - CV","A2MP1"
"8",-0.340238780219083,0.00477211136196766,NA,"LC v. H - CV","A3GALT2"
"9",-0.497646828687012,0.000695772837836256,-0.194842258093605,"LC v. H - CV","A4GALT"
"10",0.113152328740018,0.453197423616177,0.154571743069937,"LC v. H - CV","A4GNT"
"11",0.355956757817436,0.00252258477493937,-0.0954500553944741,"LC v. H - CV","AA06"
"12",-0.533866382770575,0.000213562178865066,-0.116860344320226,"LC v. H - CV","AAAS"
"13",-0.0739322658704664,0.767237478649109,0.0756972917000169,"LC v. H - CV","AACS"
"14",-0.56437637816634,0.000157900241917747,-0.309444630496989,"LC v. H - CV","AACSP1"
"15",0.11277738337468,0.0947307907267796,0.0973220943785407,"LC v. H - CV","AADAC"
"16",0.145192683057585,0.191328856782682,0.252380738758342,"LC v. H - CV","AADACL2-AS1"
"17",-0.0138688919227517,0.644300564378769,0.0331997438300672,"LC v. H - CV","AADACL2"
"18",-0.309041432314406,0.00873716828110045,0.180481893344524,"LC v. H - CV","AADACL3"
"19",-0.309041432314406,0.00873716828110045,0.180481893344524,"LC v. H - CV","AADACL4"
"20",0.0752083947689432,0.177529661689948,0.123302795373452,"LC v. H - CV","AADACP1"
"21",-0.250695450171026,0.122170466751133,0.275194930309211,"LC v. H - CV","AADAT"
"22",0.442850757776325,0.000377004858166292,-0.316475044930052,"LC v. H - CV","AAGAB"
"23",0.120942700130295,0.313388241663314,0.112376224206362,"LC v. H - CV","AAK1"
"24",0.106180190958104,0.4937734448931,0.17956517486815,"LC v. H - CV","AAMDC"
"25",-0.643563465506551,3.64155314395214e-06,-0.168614823300417,"LC v. H - CV","AAMP"
"26",-0.393866354270414,0.0280995347567627,-0.174988179055587,"LC v. H - CV","AANAT"
"27",-0.19390850595556,0.158800787704021,0.131966348460459,"LC v. H - CV","AAR2"
"28",-0.459986031017993,0.00494426022906271,0.909401375131748,"LC v. H - CV","AARD"
"29",-0.309750708218708,0.0234842008844321,-0.0947578258249528,"LC v. H - CV","AARS1"
"30",-0.293623545152673,0.0245111970483902,-0.438507631627725,"LC v. H - CV","AARS2"
"31",-0.558420781126512,7.13208648931252e-05,-0.163253015347164,"LC v. H - CV","AARSD1"
"32",-0.0293595051804285,0.689367610154563,-0.0147591785063539,"LC v. H - CV","AASDH"
"33",0.0413538228363682,0.918393001239297,0.0858985198271121,"LC v. H - CV","AASDHPPT"
"34",0.158851143381038,0.161813896767039,NA,"LC v. H - CV","AASS"
"35",-0.0696928817517162,0.358446689927783,-0.0302726280664276,"LC v. H - CV","AATBC"
"36",-0.0411683527297348,0.170322340569768,0.130985928938607,"LC v. H - CV","AATF"
"37",-0.193280270594779,0.129359083605319,-0.0617751987639383,"LC v. H - CV","AATK"
"38",-0.331061904803017,0.0233295628536839,-0.232202246620137,"LC v. H - CV","ABALON"
"39",-0.71607445308908,8.5880672410107e-06,-0.60390425986831,"LC v. H - CV","ABAT"
"40",0.71721045225968,1.50963927779609e-05,NA,"LC v. H - CV","ABCA1"
"41",0.57062404942874,2.41833563301554e-05,0.301114214730619,"LC v. H - CV","ABCA10"
"42",-0.633318800381801,3.70889053980921e-06,-0.18556905683554,"LC v. H - CV","ABCA11P"
"43",-0.315853181148509,0.0629667325553908,1.48846140917984,"LC v. H - CV","ABCA12"
"44",-0.119523707748727,0.403805281099187,0.101369132675283,"LC v. H - CV","ABCA13"
"45",-0.365822245207112,0.0596380920897063,-0.12522357394525,"LC v. H - CV","ABCA17P"
"46",-0.528542352121042,0.000238240425933385,-0.123952801763536,"LC v. H - CV","ABCA2"
"47",-0.45174452735289,0.0070811018294855,-0.141769921091668,"LC v. H - CV","ABCA3"
"48",-0.146033820906963,0.315213217068979,0.0499156786328975,"LC v. H - CV","ABCA4"
"49",0.476284704397283,0.000251559990012027,0.272097434012097,"LC v. H - CV","ABCA5"
"50",0.253496825453938,0.044570401624591,0.183414653857591,"LC v. H - CV","ABCA6"
"51",-0.45525469330392,0.000373393093241535,-0.0695971655054813,"LC v. H - CV","ABCA7"
"52",0.44672327749246,0.00121364059407461,1.5382129505181,"LC v. H - CV","ABCA8"
"53",0.0778906769504651,0.559808336414145,0.0726844167560429,"LC v. H - CV","ABCA9-AS1"
"54",0.360212911614252,0.0102726388942533,0.224127826751989,"LC v. H - CV","ABCA9"
"55",0.608325159907237,0.000721909760251818,1.48551451605527,"LC v. H - CV","ABCB1"
"56",-0.179924509060355,0.416748029854833,-0.155808198457887,"LC v. H - CV","ABCB10"
"57",-0.00281433243346973,0.727951436851539,0.00621209279547769,"LC v. H - CV","ABCB11"
"58",0.303245852775411,0.0349778480987398,-0.506701093884456,"LC v. H - CV","ABCB4"
"59",-0.106442941304581,0.700582386255901,-0.137834560955888,"LC v. H - CV","ABCB5"
"60",-0.830419315294461,6.54624930982442e-09,-0.299190743661186,"LC v. H - CV","ABCB6"
"61",-0.390033273751102,0.00724394957466433,-0.158824593297891,"LC v. H - CV","ABCB8"
"62",-0.399467736131391,0.00360768505507829,-0.191039741066856,"LC v. H - CV","ABCB9"
"63",-0.461680030380969,1.27729085854071e-05,-0.297664984890963,"LC v. H - CV","ABCC1"
"64",-0.409983478690045,0.00187618047127986,-1.12935623557948,"LC v. H - CV","ABCC10"
"65",0.185854532182482,0.0502194801847846,-0.0733486189287632,"LC v. H - CV","ABCC11"
"66",0.124905577999588,0.158427154770342,-0.0410033487215318,"LC v. H - CV","ABCC12"
"67",0.740115206122911,1.3297402522838e-07,NA,"LC v. H - CV","ABCC13"
"68",-0.217071019823515,0.143328518486345,-0.700347934912723,"LC v. H - CV","ABCC2"
"69",-0.37007510879899,0.0145327774215737,-0.268280900075203,"LC v. H - CV","ABCC3"
"70",-0.120290335948683,0.988898532927311,-0.523408890635939,"LC v. H - CV","ABCC4"
"71",-0.573221949719983,2.67480588378094e-05,-1.05524103806152,"LC v. H - CV","ABCC5-AS1"
"72",-0.519303115480572,3.96153454503968e-05,-1.42671082325444,"LC v. H - CV","ABCC5"
"73",-0.38906921751213,0.000339012113617633,-0.252106159275999,"LC v. H - CV","ABCC6"
"74",-0.0127369290856254,0.687505017518009,0.00542555900665392,"LC v. H - CV","ABCC8"
"75",0.0779305337539041,0.851497906331904,-0.408310958218296,"LC v. H - CV","ABCC9"
"76",0.395842267065973,0.00700091704400467,0.465562383098912,"LC v. H - CV","ABCD2"
"77",-0.00890951773795073,0.825796887220541,-0.0141653467569679,"LC v. H - CV","ABCD3"
"78",-0.228610539956919,0.173098687329041,0.462715495866515,"LC v. H - CV","ABCD4"
"79",0.514407493783521,0.00022224433582111,0.377794600269634,"LC v. H - CV","ABCE1"
"80",-0.55313338427035,2.73521171686576e-05,-0.188051975379974,"LC v. H - CV","ABCF1"
"81",-0.355545888845535,0.013166448750984,NA,"LC v. H - CV","ABCF2-H2BK1"
"82",-0.355545888845535,0.013166448750984,NA,"LC v. H - CV","ABCF2"
"83",-0.385442590216433,0.00150522691319587,-0.284687170059148,"LC v. H - CV","ABCF3"
"84",-0.136585897976051,0.404517948388246,0.299768339727785,"LC v. H - CV","ABCG1"
"85",-0.0597424359406592,0.79149681610568,-0.244050817689157,"LC v. H - CV","ABCG2"
"86",-0.580028077254867,2.60108152238898e-05,-0.363341576359066,"LC v. H - CV","ABCG4"
"87",0.110523657751105,0.403093365995178,-0.657128633071324,"LC v. H - CV","ABCG5"
