"","tool","metric","score"
"1","cfDNA Fragmentome LCr Score","fnr",0.193436293436293
"2","cfDNA Fragmentome LCr Score","fnr",0.234087996582657
"3","cfDNA Fragmentome LCr Score","fnr",0.215485074626866
"4","cfDNA Fragmentome LCr Score","fnr",0.204438753734528
"5","cfDNA Fragmentome LCr Score","fnr",0.204044943820225
"6","cfDNA Fragmentome LCr Score","fnr",0.220067453625632
"7","cfDNA Fragmentome LCr Score","fnr",0.206911447084233
"8","cfDNA Fragmentome LCr Score","fnr",0.220963172804533
"9","cfDNA Fragmentome LCr Score","fnr",0.224441274369948
"10","cfDNA Fragmentome LCr Score","fnr",0.238898026315789
"11","cfDNA Fragmentome LCr Score","fnr",0.228204098031338
"12","cfDNA Fragmentome LCr Score","fnr",0.271278825995807
"13","cfDNA Fragmentome LCr Score","fnr",0.208155523944998
"14","cfDNA Fragmentome LCr Score","fnr",0.217862481315396
"15","cfDNA Fragmentome LCr Score","fnr",0.242582897033159
"16","cfDNA Fragmentome LCr Score","fnr",0.261965811965812
"17","cfDNA Fragmentome LCr Score","fnr",0.21958041958042
"18","cfDNA Fragmentome LCr Score","fnr",0.268475210477081
"19","cfDNA Fragmentome LCr Score","fnr",0.237432675044883
"20","cfDNA Fragmentome LCr Score","fnr",0.176926584587323
"21","cfDNA Fragmentome LCr Score","fnr",0.242309021776702
"22","cfDNA Fragmentome LCr Score","fnr",0.283700440528634
"23","cfDNA Fragmentome LCr Score","fnr",0.258119658119658
"24","cfDNA Fragmentome LCr Score","fnr",0.206228956228956
"25","cfDNA Fragmentome LCr Score","fnr",0.262489044697634
"26","cfDNA Fragmentome LCr Score","fnr",0.179515019905899
"27","cfDNA Fragmentome LCr Score","fnr",0.206976744186047
"28","cfDNA Fragmentome LCr Score","fnr",0.231048387096774
"29","cfDNA Fragmentome LCr Score","fnr",0.233924611973392
"30","cfDNA Fragmentome LCr Score","fnr",0.266516853932584
"31","cfDNA Fragmentome LCr Score","fnr",0.258077709611452
"32","cfDNA Fragmentome LCr Score","fnr",0.2248
"33","cfDNA Fragmentome LCr Score","fnr",0.228055438891222
