"","tool","population","sensitivity","specificity"
"1","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.806091910097128,0.843680352946782
"2","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.758769171754994,0.836040014627056
"3","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.796672209384238,0.845661219125574
"4","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.794238905818838,0.845119408127678
"5","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.803778813589929,0.810677988104645
"6","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.78147920088704,0.773923645670415
"7","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.768706916963372,0.839357399246631
"8","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.771758819928072,0.830042954052947
"9","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.755935886942348,0.82595456735414
"10","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.772564987531241,0.838777401362089
"11","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.760344410851418,0.795485742820474
"12","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.72465342126555,0.79874857367425
"13","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.807876421250402,0.852506349630626
"14","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.785943295625053,0.842666527214006
"15","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.763570054616574,0.832865972510783
"16","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.755257239951035,0.834741016990016
"17","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.793726659612506,0.784137961209203
"18","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.717883598855874,0.844059132861315
"19","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.766435553866926,0.779453848317454
"20","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.820630397843051,0.881942388872055
"21","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.756963561859889,0.804599742186076
"22","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.709018192421953,0.849745140308301
"23","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.740262463465719,0.778774632325237
"24","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.80188370641312,0.857176053225758
"25","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.743695799891846,0.804503555992341
"26","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.82673524621064,0.851462312778986
