"","tool","metric","score"
"1","cfDNA Fragmentome LCr Score","fnr",0.621772336040732
"2","cfDNA Fragmentome LCr Score","fnr",0.457459690268307
"3","cfDNA Fragmentome LCr Score","fnr",0.5852773057315
"4","cfDNA Fragmentome LCr Score","fnr",0.573761386358587
"5","cfDNA Fragmentome LCr Score","fnr",0.609223887814313
"6","cfDNA Fragmentome LCr Score","fnr",0.520977539200452
"7","cfDNA Fragmentome LCr Score","fnr",0.483067247218191
"8","cfDNA Fragmentome LCr Score","fnr",0.491737671056029
"9","cfDNA Fragmentome LCr Score","fnr",0.433774834437086
"10","cfDNA Fragmentome LCr Score","fnr",0.502619537104583
"11","cfDNA Fragmentome LCr Score","fnr",0.451618882847257
"12","cfDNA Fragmentome LCr Score","fnr",0.347076417805407
"13","cfDNA Fragmentome LCr Score","fnr",0.623618349464521
"14","cfDNA Fragmentome LCr Score","fnr",0.539353520788272
"15","cfDNA Fragmentome LCr Score","fnr",0.469654304715116
"16","cfDNA Fragmentome LCr Score","fnr",0.443240393626992
"17","cfDNA Fragmentome LCr Score","fnr",0.567333292056219
"18","cfDNA Fragmentome LCr Score","fnr",0.401657458563536
"19","cfDNA Fragmentome LCr Score","fnr",0.332000533120085
"20","cfDNA Fragmentome LCr Score","fnr",0.476000491038547
"21","cfDNA Fragmentome LCr Score","fnr",0.672161642078255
"22","cfDNA Fragmentome LCr Score","fnr",0.442881800166209
"23","cfDNA Fragmentome LCr Score","fnr",0.304770488637095
"24","cfDNA Fragmentome LCr Score","fnr",0.385102907546553
"25","cfDNA Fragmentome LCr Score","fnr",0.599349804941482
"26","cfDNA Fragmentome LCr Score","fnr",0.360035682426405
"27","cfDNA Fragmentome LCr Score","fnr",0.407778355879292
"28","cfDNA Fragmentome LCr Score","fnr",0.692002421470371
"29","cfDNA Fragmentome LCr Score","fnr",0.58639002099543
"30","cfDNA Fragmentome LCr Score","fnr",0.47718761941154
"31","cfDNA Fragmentome LCr Score","fnr",0.548178259560373
"32","cfDNA Fragmentome LCr Score","fnr",0.334502032520325
"33","cfDNA Fragmentome LCr Score","fnr",0.442645381984036
"34","cfDNA Fragmentome LCr Score","fnr",0.549354069986203
"35","cfDNA Fragmentome LCr Score","fnr",0.480710556647908
"36","cfDNA Fragmentome LCr Score","fnr",0.616162790697674
"37","cfDNA Fragmentome LCr Score","fnr",0.588184515780955
"38","cfDNA Fragmentome LCr Score","fnr",0.581659182226424
"39","cfDNA Fragmentome LCr Score","fnr",0.624209907393797
"40","cfDNA Fragmentome LCr Score","fnr",0.655176491456276
"41","cfDNA Fragmentome LCr Score","fnr",0.48498007257153
"42","cfDNA Fragmentome LCr Score","fnr",0.343413664014974
"43","cfDNA Fragmentome LCr Score","fnr",0.540233545647558
"44","cfDNA Fragmentome LCr Score","fnr",0.41901782552237
"45","cfDNA Fragmentome LCr Score","fnr",0.443913393988253
"46","cfDNA Fragmentome LCr Score","fnr",0.397388059701493
"47","cfDNA Fragmentome LCr Score","fnr",0.337054604349838
"48","cfDNA Fragmentome LCr Score","fnr",0.566744199239803
"49","cfDNA Fragmentome LCr Score","fnr",0.472246751608427
"50","cfDNA Fragmentome LCr Score","fnr",0.342828077314344
"51","cfDNA Fragmentome LCr Score","fnr",0.451169608501802
"52","cfDNA Fragmentome LCr Score","fnr",0.252041371801851
"53","cfDNA Fragmentome LCr Score","fnr",0.535593615286031
"54","cfDNA Fragmentome LCr Score","fnr",0.580716118782842
"55","cfDNA Fragmentome LCr Score","fnr",0.404109589041096
