"","tool","population","sensitivity","specificity"
"1","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.381559253931764,0.815702221176196
"2","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.547998384955916,0.85964767987679
"3","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.415917043712696,0.855539377384087
"4","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.424743628921709,0.844641565803388
"5","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.390014943299999,0.821230397774509
"6","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.47044542615693,0.799806953586429
"7","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.514786073110055,0.766519431617798
"8","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.504346845439528,0.794134521190308
"9","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.557231508803687,0.856888816232735
"10","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.501571915498876,0.83263243274621
"11","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.542818125704551,0.852418195510882
"12","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.651228738402614,0.824910449742306
"13","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.37503233356878,0.832013272321585
"14","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.454587441306377,0.843680352946782
"15","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.532109067197915,0.836040014627056
"16","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.559426700866457,0.845661219125574
"17","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.42659816768184,0.845119408127678
"18","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.592651035958695,0.810677988104645
"19","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.669520670854566,0.773923645670415
"20","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.522485275397085,0.839357399246631
"21","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.328489920125395,0.830042954052947
"22","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.553895196760695,0.82595456735414
"23","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.692337187427399,0.838777401362089
"24","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.606221107945912,0.795485742820474
"25","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.396935944090481,0.79874857367425
"26","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.642323861074056,0.852506349630626
"27","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.595804274779953,0.842666527214006
"28","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.306431220818973,0.832865972510783
"29","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.416594424930141,0.834741016990016
"30","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.533565562179741,0.784137961209203
"31","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.459257587553933,0.844059132861315
"32","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.670117431653474,0.779453848317454
"33","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.562550625362798,0.881942388872055
"34","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.452581140461418,0.804599742186076
"35","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.515704941339776,0.849745140308301
"36","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.389950772360115,0.778774632325237
"37","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.41351761277044,0.857176053225758
"38","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.417814935381047,0.804503555992341
"39","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.377142845005128,0.851462312778986
"40","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.346073415444542,0.829687392141188
"41","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.511195662147143,0.825421542422849
"42","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.663669711331269,0.822630317192125
"43","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.455539856602315,0.851243888480047
"44","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.579506183825559,0.829683169731476
"45","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.552970304048087,0.802296407718026
"46","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.599630125570802,0.85026066595824
"47","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.658399407260883,0.762289611633735
"48","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.435893272127137,0.791143544853928
"49","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.528091950252327,0.789532359321612
"50","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.655769445953163,0.784606236338932
"51","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.544106990257081,0.849564495573545
"52","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.744460294880489,0.860752419284206
"53","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.466901920434745,0.867812849545908
"54","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.417471624178642,0.826211311132895
"55","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.597172255506313,0.827207538648205
"56","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.591816029408655,0.83449360094747
"57","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.607433723384271,0.794168695892856
"58","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.515090178504124,0.829101824386448
"59","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.595894644337149,0.787107294637892
"60","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.518638068501766,0.838399032754788
"61","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.45749164374038,0.838595640748871
"62","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.370721437841294,0.825241114871932
"63","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.569538254341467,0.832149125489033
"64","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.358953519373528,0.817267164030739
"65","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.538228914018821,0.839742734432359
"66","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.42136843042461,0.780188386132937
