"","bin","arm","sd","dx","f"
"1","1","1p",NA,"fake",FALSE
"2","2","1p",NA,"fake",FALSE
"3","3","1p",0.0452487123818188,"Diabetes",TRUE
"4","4","1p",0.0478138392073419,"Diabetes",TRUE
"5","4","1p",0.07882788081057,"Mild Chronic Liver Disease",TRUE
"6","4","1p",0.0233474822748275,"Dementia",TRUE
"7","4","1p",0.0474892545731744,"Heart insufficient",TRUE
"8","4","1p",0.0585427415051906,"Connective tissue disease",TRUE
"9","4","1p",0.0297212286664945,"Cerebral vascular disease",TRUE
"10","4","1p",0.0419494849655545,"Prior Cancer",TRUE
"11","4","1p",0.0474538567715084,"CV disease",TRUE
"12","5","1p",NA,"fake",FALSE
"13","6","1p",NA,"fake",FALSE
"14","7","1p",0.0458433581298727,"Diabetes",TRUE
"15","7","1p",0.0218832110566868,"Dementia",TRUE
"16","7","1p",0.0454032771037846,"Heart insufficient",TRUE
"17","7","1p",0.0292388307594331,"Cerebral vascular disease",TRUE
"18","7","1p",0.0401961213188227,"Prior Cancer",TRUE
"19","7","1p",0.0464908982887417,"CV disease",TRUE
"20","8","1p",NA,"fake",FALSE
"21","9","1p",NA,"fake",FALSE
"22","10","1p",NA,"fake",FALSE
"23","11","1p",NA,"fake",FALSE
"24","12","1p",0.0230187291151942,"Dementia",TRUE
"25","13","1p",NA,"fake",FALSE
"26","14","1p",NA,"fake",FALSE
"27","15","1p",0.0774088136734389,"Mild Chronic Liver Disease",TRUE
"28","15","1p",0.0292521572053457,"Cerebral vascular disease",TRUE
"29","16","1p",0.0785748608205327,"Mild Chronic Liver Disease",TRUE
"30","17","1p",0.0217267918608098,"Dementia",TRUE
"31","18","1p",0.0774296975835568,"Mild Chronic Liver Disease",TRUE
"32","19","1p",NA,"fake",FALSE
"33","20","1p",NA,"fake",FALSE
"34","21","1p",0.0223880080739964,"Dementia",TRUE
"35","21","1p",0.0456537742756566,"Heart insufficient",TRUE
"36","21","1p",0.0399990927209201,"Prior Cancer",TRUE
"37","22","1p",0.0214935746103519,"Dementia",TRUE
"38","23","1q",0.0458588529497733,"Diabetes",TRUE
"39","23","1q",0.0456881521443936,"Heart insufficient",TRUE
"40","23","1q",0.0405053347313743,"Prior Cancer",TRUE
"41","23","1q",0.0457298989992329,"CV disease",TRUE
"42","24","1q",0.0454646316497954,"Diabetes",TRUE
"43","24","1q",0.02354069879822,"Dementia",TRUE
"44","24","1q",0.0469873472260157,"Heart insufficient",TRUE
"45","24","1q",0.0305269614456747,"Cerebral vascular disease",TRUE
"46","24","1q",0.041455621856037,"Prior Cancer",TRUE
"47","24","1q",0.0469425938162967,"CV disease",TRUE
"48","25","1q",0.0455753686045776,"Heart insufficient",TRUE
"49","26","1q",NA,"fake",FALSE
"50","27","1q",0.0450579288174805,"Diabetes",TRUE
"51","27","1q",0.0577205237415841,"Connective tissue disease",TRUE
"52","27","1q",0.0457079929062329,"CV disease",TRUE
"53","28","1q",NA,"fake",FALSE
"54","29","1q",0.0574068145621135,"Connective tissue disease",TRUE
"55","30","1q",0.0786802355906377,"Mild Chronic Liver Disease",TRUE
"56","31","1q",NA,"fake",FALSE
"57","32","1q",0.0457891902878538,"Heart insufficient",TRUE
"58","32","1q",0.0573549352401042,"Connective tissue disease",TRUE
"59","33","1q",0.0223220206640923,"Dementia",TRUE
"60","34","1q",0.0217497418457446,"Dementia",TRUE
"61","34","1q",0.0456375503563925,"CV disease",TRUE
"62","35","1q",NA,"fake",FALSE
"63","36","1q",NA,"fake",FALSE
"64","37","1q",NA,"fake",FALSE
"65","38","1q",0.0451653723841854,"Diabetes",TRUE
"66","38","1q",0.0289575218696845,"Cerebral vascular disease",TRUE
"67","38","1q",0.0400800421234083,"Prior Cancer",TRUE
"68","38","1q",0.0457547178290299,"CV disease",TRUE
"69","39","1q",NA,"fake",FALSE
"70","40","1q",NA,"fake",FALSE
"71","41","1q",0.0793353554722202,"Mild Chronic Liver Disease",TRUE
"72","42","2p",NA,"fake",FALSE
"73","43","2p",NA,"fake",FALSE
"74","44","2p",NA,"fake",FALSE
"75","45","2p",0.0294118638972821,"Cerebral vascular disease",TRUE
"76","46","2p",0.0400727669789914,"Prior Cancer",TRUE
"77","47","2p",0.0778355839312099,"Mild Chronic Liver Disease",TRUE
"78","48","2p",0.0213555514663864,"Dementia",TRUE
"79","48","2p",0.0455693126041529,"Heart insufficient",TRUE
"80","48","2p",0.057395148644418,"Connective tissue disease",TRUE
"81","48","2p",0.0398444733891731,"Prior Cancer",TRUE
"82","48","2p",0.045853529221182,"CV disease",TRUE
"83","49","2p",0.0213472959832262,"Dementia",TRUE
"84","50","2p",NA,"fake",FALSE
"85","51","2p",0.0780565252884513,"Mild Chronic Liver Disease",TRUE
"86","51","2p",0.0292273944257562,"Cerebral vascular disease",TRUE
"87","52","2p",0.078444204736345,"Mild Chronic Liver Disease",TRUE
"88","53","2p",0.0452664026087515,"Diabetes",TRUE
"89","53","2p",0.0457014657869716,"Heart insufficient",TRUE
"90","53","2p",0.0583494307096483,"Connective tissue disease",TRUE
"91","53","2p",0.0289523617614476,"Cerebral vascular disease",TRUE
"92","53","2p",0.0398123644954964,"Prior Cancer",TRUE
"93","53","2p",0.0467778722642276,"CV disease",TRUE
"94","54","2p",NA,"fake",FALSE
"95","55","2p",0.0455453135140714,"Diabetes",TRUE
"96","55","2p",0.0214591227079132,"Dementia",TRUE
"97","55","2p",0.0455780651383248,"Heart insufficient",TRUE
"98","55","2p",0.0457184729294834,"CV disease",TRUE
"99","56","2p",NA,"fake",FALSE
"100","57","2p",NA,"fake",FALSE
"101","58","2q",NA,"fake",FALSE
"102","59","2q",NA,"fake",FALSE
"103","60","2q",NA,"fake",FALSE
"104","61","2q",NA,"fake",FALSE
"105","62","2q",NA,"fake",FALSE
"106","63","2q",NA,"fake",FALSE
"107","64","2q",NA,"fake",FALSE
"108","65","2q",0.0454393556214662,"Heart insufficient",TRUE
"109","65","2q",0.0571844100983612,"Connective tissue disease",TRUE
"110","66","2q",NA,"fake",FALSE
"111","67","2q",NA,"fake",FALSE
"112","68","2q",NA,"fake",FALSE
"113","69","2q",NA,"fake",FALSE
"114","70","2q",0.0773924170500096,"Mild Chronic Liver Disease",TRUE
"115","71","2q",NA,"fake",FALSE
"116","72","2q",NA,"fake",FALSE
"117","73","2q",NA,"fake",FALSE
