"","id","Genomic Library Input (ng)","batch","seq_date","Sequencer","Read","high_qual_cov","q20_rate","q30_rate","read_gc_perc"
"1","CGLI141P",1.4095,"b_10",5,"NovaSeq6000","100bp PE",3.31063416666667,0.978177,0.939108,0.42046
"2","CGLI142P",4.2125,"b_10",5,"NovaSeq6000","100bp PE",3.0801256,0.975897,0.93479,0.429491
"3","CGLI143P",1.5575,"b_10",5,"NovaSeq6000","100bp PE",3.93559266666667,0.978298,0.939172,0.424295
"4","CGLI144P",0.771,"b_10",5,"NovaSeq6000","100bp PE",2.40282556666667,0.978605,0.940096,0.430713
"5","CGLI145P",0.2935,"b_10",5,"NovaSeq6000","100bp PE",2.51197656666667,0.963226,0.90963,0.449956
"6","CGLI148P",7.402,"b_10",5,"NovaSeq6000","100bp PE",3.76151576666667,0.976542,0.935921,0.440164
"7","CGLI146P",0.556,"b_11",5,"NovaSeq6000","100bp PE",2.20062483333333,0.954307,0.900656,0.462866
"8","CGLI147P",1.947,"b_11",5,"NovaSeq6000","100bp PE",2.46090663333333,0.976858,0.937463,0.426758
"9","CGLI149P",4.0495,"b_11",5,"NovaSeq6000","100bp PE",2.59434886666667,0.973206,0.930824,0.429249
"10","CGLI150P",9.1675,"b_11",5,"NovaSeq6000","100bp PE",3.0893856,0.969579,0.925785,0.451962
"11","CGLI151P",0.689,"b_11",5,"NovaSeq6000","100bp PE",2.57658543333333,0.97353,0.930888,0.434449
"12","CGLI153P",2.2635,"b_11",5,"NovaSeq6000","100bp PE",2.8568662,0.975222,0.934241,0.437821
"13","CGLI155P",2.487,"b_11",5,"NovaSeq6000","100bp PE",3.264887,0.96874,0.924037,0.44333
"14","CGLI152P",0.585,"b_12",5,"NovaSeq6000","100bp PE",2.3311095,0.973716,0.933695,0.434563
"15","CGLI154P",1.539,"b_12",5,"NovaSeq6000","100bp PE",3.24398853333333,0.973427,0.930633,0.441242
"16","CGLI156P",4.104,"b_12",5,"NovaSeq6000","100bp PE",2.62320486666667,0.975974,0.935531,0.444886
"17","CGLI157P",0.285,"b_12",5,"NovaSeq6000","100bp PE",2.22195403333333,0.914819,0.837517,0.549685
"18","CGLI158P",6.731,"b_12",5,"NovaSeq6000","100bp PE",2.51577813333333,0.96595,0.9203,0.45432
"19","CGLI159P",2.32,"b_12",5,"NovaSeq6000","100bp PE",2.97248196666667,0.974576,0.932671,0.427111
"20","CGLI167P",2.7735,"b_12",5,"NovaSeq6000","100bp PE",2.96840663333333,0.975406,0.935063,0.430303
"21","CGLI160P",11.755,"b_13",5,"NovaSeq6000","100bp PE",3.23402966666667,0.973209,0.931618,0.431874
"22","CGLI161P",2.016,"b_13",5,"NovaSeq6000","100bp PE",2.42701806666667,0.966683,0.919919,0.452838
"23","CGLI162P",0.6525,"b_13",5,"NovaSeq6000","100bp PE",2.7680523,0.975438,0.935333,0.445611
"24","CGLI163P",1.638,"b_13",5,"NovaSeq6000","100bp PE",3.4342776,0.975719,0.93416,0.426112
"25","CGLI164P",2.9865,"b_13",5,"NovaSeq6000","100bp PE",4.25321676666667,0.975517,0.934498,0.434401
"26","CGLI171P",5.2345,"b_13",5,"NovaSeq6000","100bp PE",3.83070463333333,0.975363,0.93427,0.433086
"27","CGLI165P",1.8575,"b_14",5,"NovaSeq6000","100bp PE",3.03507173333333,0.97725,0.939289,0.436128
"28","CGLI166P",4.76,"b_14",5,"NovaSeq6000","100bp PE",2.37255873333333,0.979309,0.943922,0.433049
"29","CGLI168P",1.219,"b_14",5,"NovaSeq6000","100bp PE",3.64844326666667,0.979089,0.94208,0.420181
"30","CGLI169P",5.4315,"b_14",5,"NovaSeq6000","100bp PE",2.80011216666667,0.974638,0.934496,0.424092
"31","CGLI178P",0.316,"b_14",5,"NovaSeq6000","100bp PE",2.00269653333333,0.945402,0.891777,0.467264
"32","CGLI183P",1.4595,"b_14",5,"NovaSeq6000","100bp PE",3.09673203333333,0.977974,0.940461,0.430839
"33","CGLI188P",1.8525,"b_14",5,"NovaSeq6000","100bp PE",2.7835562,0.970281,0.929347,0.45535
"34","CGLI170P",13.359,"b_15",5,"NovaSeq6000","100bp PE",2.71255553333333,0.978369,0.941287,0.428952
