"","training","fam","f","type","n","out","perc","c2"
"1","Discovery","LINE","AmnL2-1#LINE_L2","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"2","Discovery","LINE","AmnL2-1#LINE_L2","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"3","Discovery","LINE","CR1-16_AMi#LINE_CR1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"4","Discovery","LINE","CR1-16_AMi#LINE_CR1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"5","Discovery","LINE","CR1-3_Croc#LINE_CR1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"6","Discovery","LINE","CR1-3_Croc#LINE_CR1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"7","Discovery","LINE","CR1_Mam#LINE_CR1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"8","Discovery","LINE","CR1_Mam#LINE_CR1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"9","Discovery","LINE","HAL1#LINE_L1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"10","Discovery","LINE","HAL1#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"11","Discovery","LINE","HAL1M8#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"12","Discovery","LINE","HAL1M8#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"13","Discovery","LINE","HAL1ME#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"14","Discovery","LINE","HAL1ME#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"15","Discovery","LINE","HAL1b#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"16","Discovery","LINE","HAL1b#LINE_L1","No Known Liver Disease",291,7,0.0240549828178694,"FALSE"
"17","Discovery","LINE","L1HS#LINE_L1","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"18","Discovery","LINE","L1HS#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"19","Discovery","LINE","L1M#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"20","Discovery","LINE","L1M#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"21","Discovery","LINE","L1M1#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"22","Discovery","LINE","L1M1#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"23","Discovery","LINE","L1M2#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"24","Discovery","LINE","L1M2#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"25","Discovery","LINE","L1M2a#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"26","Discovery","LINE","L1M2a#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"27","Discovery","LINE","L1M2b#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"28","Discovery","LINE","L1M2b#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"29","Discovery","LINE","L1M2c#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"30","Discovery","LINE","L1M2c#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"31","Discovery","LINE","L1M3#LINE_L1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"32","Discovery","LINE","L1M3#LINE_L1","No Known Liver Disease",291,14,0.0481099656357388,"FALSE"
"33","Discovery","LINE","L1M3a#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"34","Discovery","LINE","L1M3a#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"35","Discovery","LINE","L1M3b#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"36","Discovery","LINE","L1M3b#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"37","Discovery","LINE","L1M3c#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"38","Discovery","LINE","L1M3c#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"39","Discovery","LINE","L1M3d#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"40","Discovery","LINE","L1M3d#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"41","Discovery","LINE","L1M3de#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"42","Discovery","LINE","L1M3de#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"43","Discovery","LINE","L1M3e#LINE_L1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"44","Discovery","LINE","L1M3e#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"45","Discovery","LINE","L1M3f#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"46","Discovery","LINE","L1M3f#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"47","Discovery","LINE","L1M4#LINE_L1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
