"","V1","CGAD476P_Healthy","CGLI119P_Cirrhosis","CGLI124P_Cirrhosis","CGLI125P_Cirrhosis","CGLI130P_Cirrhosis","CGLI131P_Cirrhosis","CGLI137P_Cirrhosis","CGLI13P_Liver_Cancer","CGLI140P_Cirrhosis","CGLI230P_Liver_Cancer","CGLI25P_Cirrhosis","CGLI26P_Cirrhosis","CGLI27P_Cirrhosis","CGLI29P_Cirrhosis","CGLI32P_Cirrhosis","CGLI37P_Cirrhosis","CGLI409P_Cirrhosis","CGLI411P_Cirrhosis","CGLI417P_Cirrhosis","CGLI418P_Cirrhosis","CGLI419P_Cirrhosis","CGLI422P_Cirrhosis","CGLI432P_Cirrhosis","CGLI441P_Cirrhosis","CGLI47P_Liver_Cancer","CGLI486P_Cirrhosis","CGLI545P_Cirrhosis","CGLI603P_Cirrhosis","CGPLH703P2_Healthy","CGPLH800P2_Healthy","CGPLH801P2_Healthy","GSM6810003_Healthy","GSM6810004_Healthy","GSM6810005_Healthy","GSM6810006_Healthy","GSM6810007_Healthy","GSM6810008_Healthy","GSM6810009_Healthy","GSM6810010_Healthy","GSM6810011_Healthy","GSM6810012_Healthy","GSM6810013_Healthy","GSM6810014_Healthy","GSM6810015_Healthy","GSM6810016_Healthy","GSM6810017_Healthy","GSM6810018_Healthy","GSM6810019_Healthy","GSM6810020_Healthy","GSM6810021_Healthy","GSM6810022_Healthy","GSM6810023_Healthy","GSM6810024_Healthy","GSM6810025_Healthy"
"1","moss_Blood-Megakaryocytes",26.95,30.82,5.24,9.84,15.49,20.07,22.9,10.73,26.55,12.68,18.58,12.07,15.29,10.64,10.67,23.61,25.37,11.07,21.24,13.8,20.5,6.35,13.28,32.23,1.73,17.6,9,30.32,34.61,24.64,23.67,30.01,16.27,25.09,13.69,44.22,16.72,13.91,16.13,23.24,14.59,18.85,25.62,27.57,30.4,22.52,21.27,19.33,25.38,20.96,20.6,12.89,30.32,19.7
"2","loyfer_Blood-B",4.36,0,0,0,2.75,0.13,0,0,1.21,0,0.43,2.05,0.09,1.4,1.24,1.07,0,0.66,0,0.08,2.33,6.28,1.81,1.6,0.71,0,2.55,0.51,0,1.43,0,2.8,2.54,2.28,1.97,1.15,1.39,3.19,2.84,1.94,4.38,2.23,2.7,1.15,2.23,1.3,2.27,1.47,2.39,3.71,2.36,1.89,1.71,3.23
"3","loyfer_Blood-Granulocytes",35.32,26.52,42.07,23.49,29.17,43.96,33.14,44.39,25.58,32.55,31.6,29.77,44.86,36.52,40.1,26.39,26.59,22.75,31.86,15,24.61,28.78,25.46,19.77,27.45,25.63,16.4,17.28,21.45,36.19,36.13,20.33,29.62,26.36,40.37,12.2,41.67,45.62,42.18,30.14,24.67,35.72,26.32,30.12,20.52,35.17,35.46,21.05,25.54,25.19,28.07,24.5,21.7,27.47
"4","loyfer_Blood-Monocytes",2.54,2.68,17.22,31.18,24.78,12.9,18.54,14.7,11.3,13.05,14.17,18.95,16.99,14.23,17.34,18.76,20.43,35.25,13.6,32.19,19.04,11.83,20.05,19.11,7.23,21.22,23.8,13.98,10.06,13.52,7.84,7,15.64,8.78,11.1,3.9,8.54,12.11,11.47,8.23,21.49,8.64,9.06,12.41,12.36,14.02,8.28,10.96,7.78,15.68,11.04,27.23,5.73,14.58
"5","loyfer_Blood-NK",2.28,1.49,0.61,5.8,0.91,2.71,2.96,2.98,6.93,4.88,4.51,1.87,2.39,4.93,1.79,4.77,4.67,4.89,4.13,7.19,9.5,2.73,6.3,3.19,0,8.38,2.78,6.87,3.15,3.12,3.33,6.41,8.21,7.02,5.52,4.82,6.53,3.74,4.3,5.77,8.29,4.15,5.89,4.91,4.98,4.07,5.07,5.24,6.51,5.75,6.08,5.76,5.95,6.05
"6","loyfer_Blood-T-CD4",4.04,0,0,0,1.98,0,0,0.78,0,1.82,1.23,0,0,0.16,4.23,0,0,0,0,0.86,3.06,0,0,0,0,1.21,1.73,0,0,0,0,0,0.71,0.26,1.14,0,2.63,1.13,1.36,0.05,0.6,1.35,0.67,0,0,0,0,0.2,0.88,0.76,0.67,1.68,0.04,1.51
"7","loyfer_Blood-T-CD8",0,0,1.16,0,0,0,0,0.66,0,1.13,0,0,0,0,1.74,0,0,0,0,0,0,6.94,2.03,0,9.16,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","loyfer_Bone_marrow-Erythrocyte_progenitors",14.82,17.81,2.95,8.74,8.61,9.97,12.58,7.67,14.3,9.42,11.83,19.97,8.65,11.37,7.56,11.64,11.04,7.07,17.78,9.63,10.29,20.71,8.78,14.91,6.82,9,4.4,17.06,24.68,11.7,10.96,16.43,10.02,13.86,9.43,20.01,9.92,9.51,9.06,14.23,8.76,10.27,14.14,13.87,14.86,11.08,12.7,11.26,16.57,11.85,12.29,8.21,17.04,12.52
"9","loyfer_Vascular-Endothelium-META",0,6.08,11.67,4.06,0.02,1.72,0.38,1.7,1.59,4.09,4.9,3.46,3.52,4.46,4.21,2.02,0.16,3.07,1.28,2.35,1.59,0.82,2.74,2.88,9.59,1.39,12.8,1.62,0,1.67,1.78,2.85,5.14,3.9,4.02,2.38,2.48,1.96,3.27,3.39,4.52,5.09,3.83,1.09,2.59,1.99,3.63,3.49,2.26,4.33,3.86,3.74,1.99,3.17
"10","loyfer_Liver-Endothelium",2.94,0.79,16.5,9.46,5.5,3.99,4.58,2.65,4.27,5.59,6.36,7.72,1.61,4.71,3.01,2.14,6.73,4.89,6,6.95,4.58,7.16,3.33,4.46,5.04,7.85,9.24,6.99,2.06,2.92,2.95,1.41,2.82,2.23,3.41,2.94,3.47,1.55,1.2,4.18,2.97,3.74,2.41,3.94,3.14,2.68,2.6,5.35,3.7,2.29,2.9,4.93,4.25,2.4
