"","width","set","count","id"
"1",105,"All_reads",10071,"CGLI104P"
"2",106,"All_reads",11246,"CGLI104P"
"3",107,"All_reads",12427,"CGLI104P"
"4",108,"All_reads",14112,"CGLI104P"
"5",109,"All_reads",16435,"CGLI104P"
"6",110,"All_reads",19482,"CGLI104P"
"7",111,"All_reads",22734,"CGLI104P"
"8",112,"All_reads",22628,"CGLI104P"
"9",113,"All_reads",20636,"CGLI104P"
"10",114,"All_reads",18876,"CGLI104P"
"11",115,"All_reads",19404,"CGLI104P"
"12",116,"All_reads",21381,"CGLI104P"
"13",117,"All_reads",23363,"CGLI104P"
"14",118,"All_reads",25962,"CGLI104P"
"15",119,"All_reads",29271,"CGLI104P"
"16",120,"All_reads",35462,"CGLI104P"
"17",121,"All_reads",45836,"CGLI104P"
"18",122,"All_reads",53955,"CGLI104P"
"19",123,"All_reads",52871,"CGLI104P"
"20",124,"All_reads",41897,"CGLI104P"
"21",125,"All_reads",34446,"CGLI104P"
"22",126,"All_reads",33664,"CGLI104P"
"23",127,"All_reads",36501,"CGLI104P"
"24",128,"All_reads",41295,"CGLI104P"
"25",129,"All_reads",47350,"CGLI104P"
"26",130,"All_reads",57624,"CGLI104P"
"27",131,"All_reads",74245,"CGLI104P"
"28",132,"All_reads",99180,"CGLI104P"
"29",133,"All_reads",123349,"CGLI104P"
"30",134,"All_reads",128067,"CGLI104P"
"31",135,"All_reads",115076,"CGLI104P"
"32",136,"All_reads",104974,"CGLI104P"
"33",137,"All_reads",109968,"CGLI104P"
"34",138,"All_reads",128450,"CGLI104P"
"35",139,"All_reads",156685,"CGLI104P"
"36",140,"All_reads",189186,"CGLI104P"
"37",141,"All_reads",215234,"CGLI104P"
"38",142,"All_reads",225370,"CGLI104P"
"39",143,"All_reads",226351,"CGLI104P"
"40",144,"All_reads",229161,"CGLI104P"
"41",145,"All_reads",236158,"CGLI104P"
"42",146,"All_reads",238095,"CGLI104P"
"43",147,"All_reads",241650,"CGLI104P"
"44",148,"All_reads",250716,"CGLI104P"
"45",149,"All_reads",262163,"CGLI104P"
"46",150,"All_reads",278386,"CGLI104P"
"47",151,"All_reads",298911,"CGLI104P"
"48",152,"All_reads",315482,"CGLI104P"
"49",153,"All_reads",315305,"CGLI104P"
"50",154,"All_reads",306270,"CGLI104P"
"51",155,"All_reads",305250,"CGLI104P"
"52",156,"All_reads",324628,"CGLI104P"
"53",157,"All_reads",354013,"CGLI104P"
"54",158,"All_reads",388715,"CGLI104P"
"55",159,"All_reads",425069,"CGLI104P"
"56",160,"All_reads",451492,"CGLI104P"
"57",161,"All_reads",471024,"CGLI104P"
"58",162,"All_reads",490624,"CGLI104P"
"59",163,"All_reads",530013,"CGLI104P"
"60",164,"All_reads",590308,"CGLI104P"
"61",165,"All_reads",645261,"CGLI104P"
"62",166,"All_reads",673477,"CGLI104P"
"63",167,"All_reads",668354,"CGLI104P"
"64",168,"All_reads",652536,"CGLI104P"
"65",169,"All_reads",625697,"CGLI104P"
"66",170,"All_reads",593346,"CGLI104P"
"67",171,"All_reads",558844,"CGLI104P"
"68",172,"All_reads",526879,"CGLI104P"
"69",173,"All_reads",507072,"CGLI104P"
"70",174,"All_reads",494534,"CGLI104P"
"71",175,"All_reads",485775,"CGLI104P"
"72",176,"All_reads",468651,"CGLI104P"
"73",177,"All_reads",442695,"CGLI104P"
"74",178,"All_reads",410859,"CGLI104P"
"75",179,"All_reads",375711,"CGLI104P"
"76",180,"All_reads",341304,"CGLI104P"
"77",181,"All_reads",311919,"CGLI104P"
"78",182,"All_reads",283560,"CGLI104P"
"79",183,"All_reads",259943,"CGLI104P"
"80",184,"All_reads",243496,"CGLI104P"
"81",185,"All_reads",230003,"CGLI104P"
"82",186,"All_reads",218010,"CGLI104P"
"83",187,"All_reads",208221,"CGLI104P"
"84",188,"All_reads",196235,"CGLI104P"
"85",189,"All_reads",183949,"CGLI104P"
"86",190,"All_reads",169512,"CGLI104P"
"87",191,"All_reads",155138,"CGLI104P"
"88",192,"All_reads",140934,"CGLI104P"
"89",193,"All_reads",129052,"CGLI104P"
"90",194,"All_reads",118787,"CGLI104P"
"91",195,"All_reads",110133,"CGLI104P"
"92",196,"All_reads",104427,"CGLI104P"
"93",197,"All_reads",98790,"CGLI104P"
"94",198,"All_reads",94763,"CGLI104P"
"95",199,"All_reads",90171,"CGLI104P"
"96",200,"All_reads",85063,"CGLI104P"
"97",201,"All_reads",79292,"CGLI104P"
"98",202,"All_reads",73137,"CGLI104P"
"99",203,"All_reads",66863,"CGLI104P"
"100",204,"All_reads",61416,"CGLI104P"
"101",205,"All_reads",57027,"CGLI104P"
"102",206,"All_reads",52837,"CGLI104P"
"103",207,"All_reads",49750,"CGLI104P"
"104",208,"All_reads",46748,"CGLI104P"
"105",209,"All_reads",44492,"CGLI104P"
"106",210,"All_reads",42180,"CGLI104P"
"107",211,"All_reads",38987,"CGLI104P"
"108",212,"All_reads",36287,"CGLI104P"
"109",213,"All_reads",33354,"CGLI104P"
"110",214,"All_reads",30243,"CGLI104P"
"111",215,"All_reads",28032,"CGLI104P"
"112",216,"All_reads",25992,"CGLI104P"
"113",217,"All_reads",24220,"CGLI104P"
"114",218,"All_reads",22486,"CGLI104P"
"115",219,"All_reads",21247,"CGLI104P"
"116",220,"All_reads",20003,"CGLI104P"
"117",105,"All_reads",20136,"CGLI105P"
"118",106,"All_reads",22112,"CGLI105P"
"119",107,"All_reads",24646,"CGLI105P"
"120",108,"All_reads",28655,"CGLI105P"
"121",109,"All_reads",34895,"CGLI105P"
"122",110,"All_reads",45248,"CGLI105P"
"123",111,"All_reads",53420,"CGLI105P"
"124",112,"All_reads",54788,"CGLI105P"
"125",113,"All_reads",47712,"CGLI105P"
"126",114,"All_reads",41601,"CGLI105P"
"127",115,"All_reads",41007,"CGLI105P"
"128",116,"All_reads",44283,"CGLI105P"
"129",117,"All_reads",49530,"CGLI105P"
"130",118,"All_reads",55517,"CGLI105P"
"131",119,"All_reads",66662,"CGLI105P"
"132",120,"All_reads",86080,"CGLI105P"
"133",121,"All_reads",115437,"CGLI105P"
"134",122,"All_reads",137738,"CGLI105P"
"135",123,"All_reads",134168,"CGLI105P"
"136",124,"All_reads",103189,"CGLI105P"
"137",125,"All_reads",78984,"CGLI105P"
"138",126,"All_reads",72416,"CGLI105P"
"139",127,"All_reads",76961,"CGLI105P"
"140",128,"All_reads",85577,"CGLI105P"
"141",129,"All_reads",97333,"CGLI105P"
"142",130,"All_reads",118699,"CGLI105P"
"143",131,"All_reads",152614,"CGLI105P"
"144",132,"All_reads",200840,"CGLI105P"
"145",133,"All_reads",248922,"CGLI105P"
"146",134,"All_reads",259395,"CGLI105P"
"147",135,"All_reads",229330,"CGLI105P"
"148",136,"All_reads",200067,"CGLI105P"
"149",137,"All_reads",202105,"CGLI105P"
"150",138,"All_reads",232433,"CGLI105P"
"151",139,"All_reads",280731,"CGLI105P"
"152",140,"All_reads",334974,"CGLI105P"
"153",141,"All_reads",377344,"CGLI105P"
"154",142,"All_reads",387656,"CGLI105P"
"155",143,"All_reads",378784,"CGLI105P"
"156",144,"All_reads",378743,"CGLI105P"
"157",145,"All_reads",382111,"CGLI105P"
"158",146,"All_reads",377585,"CGLI105P"
"159",147,"All_reads",375196,"CGLI105P"
"160",148,"All_reads",387350,"CGLI105P"
"161",149,"All_reads",404292,"CGLI105P"
"162",150,"All_reads",423796,"CGLI105P"
"163",151,"All_reads",450008,"CGLI105P"
"164",152,"All_reads",473129,"CGLI105P"
"165",153,"All_reads",468932,"CGLI105P"
"166",154,"All_reads",449385,"CGLI105P"
"167",155,"All_reads",447045,"CGLI105P"
"168",156,"All_reads",468379,"CGLI105P"
"169",157,"All_reads",507522,"CGLI105P"
"170",158,"All_reads",554460,"CGLI105P"
"171",159,"All_reads",603800,"CGLI105P"
"172",160,"All_reads",641334,"CGLI105P"
"173",161,"All_reads",665518,"CGLI105P"
"174",162,"All_reads",693804,"CGLI105P"
"175",163,"All_reads",755314,"CGLI105P"
"176",164,"All_reads",845969,"CGLI105P"
"177",165,"All_reads",922542,"CGLI105P"
"178",166,"All_reads",940890,"CGLI105P"
"179",167,"All_reads",920659,"CGLI105P"
"180",168,"All_reads",884479,"CGLI105P"
"181",169,"All_reads",839576,"CGLI105P"
"182",170,"All_reads",780621,"CGLI105P"
"183",171,"All_reads",726544,"CGLI105P"
"184",172,"All_reads",679076,"CGLI105P"
"185",173,"All_reads",647383,"CGLI105P"
"186",174,"All_reads",630257,"CGLI105P"
"187",175,"All_reads",613809,"CGLI105P"
"188",176,"All_reads",594139,"CGLI105P"
"189",177,"All_reads",557451,"CGLI105P"
"190",178,"All_reads",515435,"CGLI105P"
"191",179,"All_reads",467450,"CGLI105P"
"192",180,"All_reads",421530,"CGLI105P"
"193",181,"All_reads",379547,"CGLI105P"
"194",182,"All_reads",344830,"CGLI105P"
"195",183,"All_reads",314708,"CGLI105P"
"196",184,"All_reads",292438,"CGLI105P"
"197",185,"All_reads",274991,"CGLI105P"
"198",186,"All_reads",259564,"CGLI105P"
"199",187,"All_reads",245336,"CGLI105P"
"200",188,"All_reads",231996,"CGLI105P"
"201",189,"All_reads",214946,"CGLI105P"
