"","width","set","count","id"
"1",105,"All_reads",8380,"DL000223NCP0"
"2",106,"All_reads",8794,"DL000223NCP0"
"3",107,"All_reads",9875,"DL000223NCP0"
"4",108,"All_reads",11456,"DL000223NCP0"
"5",109,"All_reads",13746,"DL000223NCP0"
"6",110,"All_reads",16610,"DL000223NCP0"
"7",111,"All_reads",20211,"DL000223NCP0"
"8",112,"All_reads",20286,"DL000223NCP0"
"9",113,"All_reads",18064,"DL000223NCP0"
"10",114,"All_reads",15986,"DL000223NCP0"
"11",115,"All_reads",16028,"DL000223NCP0"
"12",116,"All_reads",17051,"DL000223NCP0"
"13",117,"All_reads",19186,"DL000223NCP0"
"14",118,"All_reads",21399,"DL000223NCP0"
"15",119,"All_reads",25217,"DL000223NCP0"
"16",120,"All_reads",32997,"DL000223NCP0"
"17",121,"All_reads",44443,"DL000223NCP0"
"18",122,"All_reads",53593,"DL000223NCP0"
"19",123,"All_reads",53092,"DL000223NCP0"
"20",124,"All_reads",41349,"DL000223NCP0"
"21",125,"All_reads",32068,"DL000223NCP0"
"22",126,"All_reads",29597,"DL000223NCP0"
"23",127,"All_reads",31397,"DL000223NCP0"
"24",128,"All_reads",35296,"DL000223NCP0"
"25",129,"All_reads",40985,"DL000223NCP0"
"26",130,"All_reads",51293,"DL000223NCP0"
"27",131,"All_reads",67588,"DL000223NCP0"
"28",132,"All_reads",91408,"DL000223NCP0"
"29",133,"All_reads",115883,"DL000223NCP0"
"30",134,"All_reads",120287,"DL000223NCP0"
"31",135,"All_reads",104698,"DL000223NCP0"
"32",136,"All_reads",89811,"DL000223NCP0"
"33",137,"All_reads",91141,"DL000223NCP0"
"34",138,"All_reads",106942,"DL000223NCP0"
"35",139,"All_reads",134472,"DL000223NCP0"
"36",140,"All_reads",167404,"DL000223NCP0"
"37",141,"All_reads",194803,"DL000223NCP0"
"38",142,"All_reads",204402,"DL000223NCP0"
"39",143,"All_reads",201723,"DL000223NCP0"
"40",144,"All_reads",202038,"DL000223NCP0"
"41",145,"All_reads",202525,"DL000223NCP0"
"42",146,"All_reads",197516,"DL000223NCP0"
"43",147,"All_reads",195611,"DL000223NCP0"
"44",148,"All_reads",203863,"DL000223NCP0"
"45",149,"All_reads",217232,"DL000223NCP0"
"46",150,"All_reads",235010,"DL000223NCP0"
"47",151,"All_reads",259463,"DL000223NCP0"
"48",152,"All_reads",280271,"DL000223NCP0"
"49",153,"All_reads",279585,"DL000223NCP0"
"50",154,"All_reads",264011,"DL000223NCP0"
"51",155,"All_reads",259320,"DL000223NCP0"
"52",156,"All_reads",266531,"DL000223NCP0"
"53",157,"All_reads",289520,"DL000223NCP0"
"54",158,"All_reads",321415,"DL000223NCP0"
"55",159,"All_reads",358349,"DL000223NCP0"
"56",160,"All_reads",386222,"DL000223NCP0"
"57",161,"All_reads",405673,"DL000223NCP0"
"58",162,"All_reads",422542,"DL000223NCP0"
"59",163,"All_reads",452816,"DL000223NCP0"
"60",164,"All_reads",502926,"DL000223NCP0"
"61",165,"All_reads",545654,"DL000223NCP0"
"62",166,"All_reads",560639,"DL000223NCP0"
"63",167,"All_reads",556960,"DL000223NCP0"
"64",168,"All_reads",540763,"DL000223NCP0"
"65",169,"All_reads",517056,"DL000223NCP0"
"66",170,"All_reads",484142,"DL000223NCP0"
"67",171,"All_reads",450325,"DL000223NCP0"
"68",172,"All_reads",421279,"DL000223NCP0"
"69",173,"All_reads",401916,"DL000223NCP0"
"70",174,"All_reads",387056,"DL000223NCP0"
"71",175,"All_reads",375803,"DL000223NCP0"
"72",176,"All_reads",361677,"DL000223NCP0"
"73",177,"All_reads",340956,"DL000223NCP0"
"74",178,"All_reads",317161,"DL000223NCP0"
"75",179,"All_reads",292003,"DL000223NCP0"
"76",180,"All_reads",267028,"DL000223NCP0"
"77",181,"All_reads",242911,"DL000223NCP0"
"78",182,"All_reads",222295,"DL000223NCP0"
"79",183,"All_reads",203910,"DL000223NCP0"
"80",184,"All_reads",187754,"DL000223NCP0"
"81",185,"All_reads",176378,"DL000223NCP0"
"82",186,"All_reads",166824,"DL000223NCP0"
"83",187,"All_reads",158081,"DL000223NCP0"
"84",188,"All_reads",149799,"DL000223NCP0"
"85",189,"All_reads",140244,"DL000223NCP0"
"86",190,"All_reads",130982,"DL000223NCP0"
"87",191,"All_reads",119685,"DL000223NCP0"
"88",192,"All_reads",108753,"DL000223NCP0"
"89",193,"All_reads",100007,"DL000223NCP0"
"90",194,"All_reads",92275,"DL000223NCP0"
"91",195,"All_reads",84637,"DL000223NCP0"
"92",196,"All_reads",79401,"DL000223NCP0"
"93",197,"All_reads",75466,"DL000223NCP0"
"94",198,"All_reads",72089,"DL000223NCP0"
"95",199,"All_reads",69372,"DL000223NCP0"
"96",200,"All_reads",65674,"DL000223NCP0"
"97",201,"All_reads",61432,"DL000223NCP0"
"98",202,"All_reads",57372,"DL000223NCP0"
"99",203,"All_reads",51833,"DL000223NCP0"
"100",204,"All_reads",47856,"DL000223NCP0"
"101",205,"All_reads",44487,"DL000223NCP0"
"102",206,"All_reads",41459,"DL000223NCP0"
"103",207,"All_reads",38451,"DL000223NCP0"
"104",208,"All_reads",36822,"DL000223NCP0"
"105",209,"All_reads",34704,"DL000223NCP0"
"106",210,"All_reads",33054,"DL000223NCP0"
"107",211,"All_reads",31235,"DL000223NCP0"
"108",212,"All_reads",28558,"DL000223NCP0"
"109",213,"All_reads",26316,"DL000223NCP0"
"110",214,"All_reads",24338,"DL000223NCP0"
"111",215,"All_reads",22008,"DL000223NCP0"
"112",216,"All_reads",20314,"DL000223NCP0"
"113",217,"All_reads",18767,"DL000223NCP0"
"114",218,"All_reads",17894,"DL000223NCP0"
"115",219,"All_reads",16861,"DL000223NCP0"
"116",220,"All_reads",15774,"DL000223NCP0"
"117",105,"All_reads",9347,"DL000224NCP0"
"118",106,"All_reads",10284,"DL000224NCP0"
"119",107,"All_reads",11207,"DL000224NCP0"
"120",108,"All_reads",12989,"DL000224NCP0"
"121",109,"All_reads",14858,"DL000224NCP0"
"122",110,"All_reads",17795,"DL000224NCP0"
"123",111,"All_reads",20637,"DL000224NCP0"
"124",112,"All_reads",20732,"DL000224NCP0"
"125",113,"All_reads",17930,"DL000224NCP0"
"126",114,"All_reads",16224,"DL000224NCP0"
"127",115,"All_reads",16373,"DL000224NCP0"
"128",116,"All_reads",17439,"DL000224NCP0"
"129",117,"All_reads",19551,"DL000224NCP0"
"130",118,"All_reads",21410,"DL000224NCP0"
"131",119,"All_reads",24069,"DL000224NCP0"
"132",120,"All_reads",29365,"DL000224NCP0"
"133",121,"All_reads",38617,"DL000224NCP0"
"134",122,"All_reads",45390,"DL000224NCP0"
"135",123,"All_reads",44155,"DL000224NCP0"
"136",124,"All_reads",34816,"DL000224NCP0"
"137",125,"All_reads",27857,"DL000224NCP0"
"138",126,"All_reads",26477,"DL000224NCP0"
"139",127,"All_reads",28893,"DL000224NCP0"
"140",128,"All_reads",32335,"DL000224NCP0"
"141",129,"All_reads",36950,"DL000224NCP0"
"142",130,"All_reads",44367,"DL000224NCP0"
"143",131,"All_reads",57089,"DL000224NCP0"
"144",132,"All_reads",75347,"DL000224NCP0"
"145",133,"All_reads",93029,"DL000224NCP0"
"146",134,"All_reads",96154,"DL000224NCP0"
"147",135,"All_reads",85223,"DL000224NCP0"
"148",136,"All_reads",76322,"DL000224NCP0"
"149",137,"All_reads",80770,"DL000224NCP0"
"150",138,"All_reads",95849,"DL000224NCP0"
"151",139,"All_reads",116692,"DL000224NCP0"
"152",140,"All_reads",141496,"DL000224NCP0"
"153",141,"All_reads",158297,"DL000224NCP0"
"154",142,"All_reads",162299,"DL000224NCP0"
"155",143,"All_reads",160929,"DL000224NCP0"
"156",144,"All_reads",161076,"DL000224NCP0"
"157",145,"All_reads",163351,"DL000224NCP0"
"158",146,"All_reads",161899,"DL000224NCP0"
"159",147,"All_reads",164019,"DL000224NCP0"
"160",148,"All_reads",173166,"DL000224NCP0"
